id,survey_year,course_mode,course_level,programme_id,programme,discipline_group_id,broad_discipline_group,discipline,appeared_female,appeared_total,passed_female,passed_total,first_class_passed_female,first_class_passed_total
316,2015,Regular,Under Graduate,180,B.Sc.(Hons)-Bachelor of Science (Honors),118,Women Studies,Home Science,0,0,0,0,0,0
316,2015,Regular,Under Graduate,30,B.Sc.-Bachelor of Science,5,Horticulture,Horticulture,0,0,0,0,0,0
316,2015,Regular,Post Graduate,122,M.Tech. -Master of Technology,123,Food Technology,Food Technology,0,0,0,0,0,0
316,2015,Regular,Under Graduate,36,B.Tech.-Bachelor of Technology,123,Food Technology,Food Science,0,0,0,0,0,0
160,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,94,Chemistry,Chemistry,40,47,40,46,37,42
160,2015,Regular,Post Graduate,122,M.Tech. -Master of Technology,17,Computer Engineering,Computer Science,15,24,15,24,14,21
160,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,174,Mathematics,Mathematics,42,60,36,47,35,45
160,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,104,Physics,Physics,0,0,0,0,0,0
160,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,104,Physics,Physics,39,48,39,48,37,46
160,2015,Regular,Post Graduate,124,M.A.-Master of Arts,109,Economics,Economics,16,32,15,29,12,15
160,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,109,Economics,Economics,0,0,0,0,0,0
160,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,9,Commerce,Commerce,0,0,0,0,0,0
160,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,133,Business Administration,Business Administration,0,0,0,0,0,0
160,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,101,Life Science,Food Science,7,11,7,11,6,9
160,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,97,Environmental Science,Environment Science,0,0,0,0,0,0
160,2015,Regular,Post Graduate,111,M.Sc.-Master of Science,97,Environmental Science,Environment Science,6,9,0,0,0,0
160,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,146,Bio-Technology,Biotechnology,0,0,0,0,0,0
160,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,31,English,English,6,14,4,10,4,10
160,2015,Regular,Post Graduate,124,M.A.-Master of Arts,31,English,English,11,23,11,21,1,5
160,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,31,English,English,0,0,0,0,0,0
160,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,51,Journalism & Mass Communication,Mass Communication,0,0,0,0,0,0
160,2015,Regular,Post Graduate,89,L.L.M.-Master of Law or Laws,52,Law,Law,8,22,1,5,1,5
160,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,52,Law,Law,0,0,0,0,0,0
160,2015,Regular,Under Graduate,87,L.L.B.-Bachelor of Law or Laws,52,Law,Law,13,49,8,29,6,18
160,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,12,Education,Education,11,15,10,13,10,12
160,2015,Regular,Under Graduate,17,B.Ed.-Bachelor of Education,12,Education,Education,69,96,68,92,68,90
160,2015,Regular,Post Graduate,124,M.A.-Master of Arts,12,Education,Education,12,21,6,8,0,0
160,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,12,Education,Education,0,0,0,0,0,0
160,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,114,Public Administration,Public Administration,1,9,1,9,1,8
160,2015,Regular,Post Graduate,130,M.C.A. -Master of Computer Applications,183,Computer Application,Computer,58,58,57,57,56,56
160,2015,Regular,Ph.D.,157,Ph.D.-Doctor of Philosophy,95,Computer Science,Physical Science,0,0,0,0,0,0
160,2015,Regular,Diploma,82,Diploma-Diploma,82,Physical Education,Physical Education,0,0,0,0,0,0
160,2015,Regular,Integrated,185,Integrated M.A.-Integrated Master of Arts,109,Economics,Economics,8,26,7,14,6,10
160,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,146,Bio-Technology,Biotechnology,0,0,0,0,0,0
160,2015,Regular,M.Phil.,109,M.Phil.-Master of Philosophy,97,Environmental Science,Energy Environment Sciences,0,0,0,0,0,0
